item_code,item_name,sale_rate,purchase_rate,total_per_margin,store_per,sukhjeet_per
8901207872624,Dabur Honey,185,175,5.405405405,3,2.405405405
8901207900648,Dabur Chaman Fresh,285,240,15.78947368,7,8.789473684
8901233018638,Dairy Milk,10,8.57,14.3,7,7.3
8901233023731,Bourn Vita 500g,215,198,7.906976744,3,4.906976744
8901248101301,Boro Plus  180ml,92,84,8.695652174,4,4.695652174
8901248253109,Fair Handsome,68,63,7.352941176,4,3.352941176
8901314009517,COLGATE ACTIVE SALT 100 GM,52,48,7.692307692,4,3.692307692
8901314032058,HELLO SHAMPOO 1000 ML,270,200,25.92592593,10,15.92592593
8901314114525,COLGATE M F 80G,47,43.5,7.446808511,3,4.446808511
8901314200167,Colgate Super Flaxi,20,15,25,10,15
8901331003840,Ghadi Washng Pwdr,26,24.75,4.807692308,2,2.807692308
8901393016130,CENTER FRUIT 578GM,168,150,10.71428571,5,5.714285714
8901393016239,CENTER FRESH 578GM,168,150,10.71428571,5,5.714285714
8901396323310,Dettol H/W,76,70,7.894736842,4,3.894736842
8901396332114,DETTOL FRESH SHVNG CRM,67,59,11.94029851,5,6.940298507
8901396352204,VEET HAIR REMOVAL CR 60G,108,95,12.03703704,6,6.037037037
8901499007940,Kelloggs Chocos 125g,54,50,7.407407407,3,4.407407407
8901499007957,Kelloggs Chocos,105,99.09,5.628571429,3,2.628571429
8901526204458,GARNIER 1 NTRL BLK 60ML,170,138,18.82352941,10,8.823529412
8901526204465,GARNIER 3 DRK BRN 60ML,170,138,18.82352941,10,8.823529412
8901559104114,Nippo AA 3gp,9,6.3,30,15,15
8901559104572,Nippo AA 3ue,9,5.1,43.33333333,15,28.33333333
8901644000734,SIMCO SWIFT,210,160,23.80952381,10,13.80952381
8901724598220,Bingo Tomato Mad,10,8.5,15,10,5
8901764092152,Mango Mazza,75,68.88,8.16,4,4.16
8902167000218,MDH CHICKEN MASALA 100G,60,49.4,17.66666667,10,7.666666667
8902246000436,Water Botel V/S,15,10.83,27.8,15,12.8
89030744010239,Nona Knife,30,20,33.33333333,15,18.33333333
8903622031228,`Mamy Poko S4,42,34,19.04761905,10,9.047619048
8904013071007,Satisabgol 100gm,88,82,6.818181818,3,3.818181818
8904063200198,Nut Cracker 200gm,43,40.18,6.558139535,3,3.558139535
8904109443084,Patanjali Paper,48,44.44,7.416666667,3,4.416666667
8904135205038,AYUR AMLA SHK SHMP 200ML,89,72,19.1011236,10,9.101123596
8904175711230,Mitha Soda 100g,9,6,33.33333333,15,18.33333333
8904175711360,Raiee,115,90,21.73913043,10,11.73913043
8906006435773,All Out Comb,70,63,10,5,5
8906007280037,Fortune Soya Helth,100,79.16,20.84,10,10.84
8906007283106,Fortune Soya 200g,40,30,25,10,15
8906014201209,KEO KARPIN H OIL 100ML,43,40,6.976744186,3,3.976744186
8906014201308,KEO KARPIN H OIL 200ML,83,75.5,9.036144578,5,4.036144578
8906014642941,GAGAN VAN CAN 15LT,1160,1120,3.448275862,2,1.448275862
8906014643016,GAGAN VNSPTI 5LTR,440,423,3.863636364,2,1.863636364
8906014643719,GAGAN KACHI GHANI(A)5LTR,595,532.5,10.50420168,5,5.504201681
8906014765961,BAJAJ ALMOND 100ML,58,51.5,11.20689655,6,5.206896552
8906014765992,BAJAJ ALMOND 500 ML,245,215,12.24489796,6,6.244897959
8906016050799,COLOR MATE 9.1,23,18.4,20,10,10
8906016050805,COLOUR MATE 9.2 15G,22,14,36.36363636,15,21.36363636
8906016050812,COLOR MATE HAIR CLR 9.3,23,18.5,19.56521739,10,9.565217391
8906030292199,GINGER PASTE 200GM,43,32,25.58139535,12,13.58139535
