"Transfer To","Item Code","Item Category","Item Name","Item Qty","Item Desc","Sale Price",MRP,"Item Unit","Free Item Barcode","Free Item Name","Free Item Qty","Item Expiry","Item SKU",Date
35,8901030591259,,"TAJ  Mahal 500GM",0,"TAJ  Mahal 500GM",210,215,PC,0,,0,0000-00-00,TAJ145,2016-11-19
35,8901030591259,,"TAJ  Mahal 500GM",0,"TAJ  Mahal 500GM",210,215,PC,0,,0,0000-00-00,TAJ145,2016-11-19
35,"Channa Daal",,"Channa Daal",0,"Channa Daal",0,125,PC,0,,0,0000-00-00,Channa145,2016-11-19
