"Transfer To","Item Code","Item Category","Item Name","Item Qty","Item Desc","Sale Price",MRP,"Item Unit","Free Item Barcode","Free Item Name","Free Item Qty","Item Expiry","Item SKU",Date
35,8901030591259,,"TAJ  Mahal 500GM",0,"TAJ  Mahal 500GM",210,215,PC,0,,0,0000-00-00,TAJ145,2016-11-21
35,"Channa Daal",,"Channa Daal",0,"Channa Daal",0,125,PC,0,,0,0000-00-00,Channa145,2016-11-21
35,"White Channa ",,"White Channa ",0,"White Channa ",125,135,PC,0,,0,0000-00-00,White145,2016-11-21
35,"Suger Bura",,"Suger Bura",0,"Suger Bura
",50,55,kg,0,,0,0000-00-00,nil,2016-11-21
